fid_1,Lake,Type,Sq,EM_pct_17,SFM_pct_17,OW_pct_17,EM_pct_18,SFM_pct_18,OW_pct_18,EM_pct_19,SFM_pct_19,OW_pct_19,EM_pct_20,SFM_pct_20,OW_pct_20,EM_pct_21,SFM_pct_21,OW_pct_21,EM_pct_22,SFM_pct_22,OW_pct_22,EM_pct_23,SFM_pct_23,OW_pct_23,EM_pct_24,SFM_pct_24,OW_pct_24,mac17,mac18,mac19,mac20,mac21,mac22,mac23,mac24,morf_group
40,Galstas,1,3.8,6.010748857345463,6.214395244742951,87.77485589791158,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.90501055858739,7.624088090713004,85.4709013506996,6.853097607328245,5.838866875187221,87.30803551748454,8.04728474859756,4.774368523736046,87.1783467276664,7.156803474393274,5.723348198882383,87.11984832672435,12.225144102088414,NA,NA,NA,14.529098649300394,12.691964482515466,12.821653272333606,12.880151673275655,2
41,Galuonai,1,4.8,3.701290910268668,2.7756511954719816,93.52305789425934,4.782371345610865,6.82182523374984,88.39580342063928,7.745850481029231,9.66751750528812,82.58663201368265,4.508916601612277,10.934837215327104,84.55624618306064,5.203887058308714,10.81100189390423,83.98511104778706,3.486517015838761,11.56949982737318,84.94398315678805,5.489487713513974,8.33755920081126,86.17295308567476,9.302726339538626,9.138542947449098,81.55873071301228,6.476942105740649,11.604196579360703,17.413367986317354,15.44375381693938,16.014888952212942,15.05601684321194,13.827046914325232,18.44126928698773,3
42,Galuonis,1,2.3,7.180889851576986,1.146029509736892,91.67308063868612,9.29323949851262,2.6259363993459046,88.08082410214149,12.441227164609534,8.02555383173497,79.5332190036555,8.613941232798611,12.841668878539783,78.5443898886616,7.852417335783164,10.726177425868954,81.42140523834789,7.129032275906476,10.45670014404788,82.41426758004565,10.938267009978684,6.068857511772524,82.99287547824879,6.960677138029644,11.7160219546985,81.32330090727184,8.326919361313879,11.919175897858526,20.466780996344504,21.455610111338395,18.57859476165212,17.585732419954358,17.00712452175121,18.676699092728143,1
43,Galvė,1,3.6,2.042877884847656,4.633256136274148,93.3238659788782,4.19091191524101,2.016382676133901,93.79270540862508,4.482180273960059,4.320426728112545,91.1973929979274,2.865750069070124,5.451249547686911,91.68300038324296,NA,NA,NA,2.196739011966714,6.825997210598879,90.97726377743442,8.85296554560174,1.796611035083952,89.35042341931431,3.2818414235406346,4.452439936002936,92.26571864045644,6.676134021121804,6.207294591374911,8.802607002072603,8.316999616757034,NA,9.022736222565593,10.649576580685691,7.73428135954357,2
44,Gauštvinis,1,1.2,NA,NA,NA,18.657813453508822,4.21545691509144,77.12672963139975,NA,NA,NA,5.358708019634773,17.967812287317802,76.67347969304741,NA,NA,NA,8.09850880346162,12.654520273041548,79.24697092349685,7.94086374168867,14.688091642181694,77.37104461612962,12.354507793428407,11.552076127714066,76.09341607885753,NA,22.873270368600263,NA,23.32652030695257,NA,20.753029076503168,22.628955383870363,23.90658392114248,3
45,Gavys,1,1.2,NA,NA,NA,4.070051003933193,1.2573095851953349,94.67263941087148,4.900041722787575,1.5421607890319071,93.55779748818053,2.8672266032098657,2.585068901082493,94.54770449570763,NA,NA,NA,1.621847100583651,3.6977137863520535,94.6804391130643,4.040782933970546,2.248850170099198,93.71036689593024,4.096461454410862,1.951851860460712,93.95168668512842,NA,5.327360589128528,6.442202511819482,5.452295504292358,NA,5.3195608869357045,6.289633104069744,6.048313314871574,2
46,Giluitis,1,2.3,2.667318296920174,8.067806796376168,89.26487490670365,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.774356321137321,7.891277506386637,88.33436617247604,2.4275921102608637,9.30776161185713,88.26464627788201,2.9958862951918537,8.438316210492502,88.56579749431563,2.788312699675042,8.072280093341664,89.1394072069833,10.73512509329634,NA,NA,NA,11.665633827523958,11.735353722117992,11.434202505684356,10.860592793016709,1
47,Glėbas,1,1.3,7.195354905517683,4.16072833159517,88.64391676288716,6.800967295434438,3.144407799122583,90.05462490544299,8.846538450345594,3.398799697282985,87.75466185237141,10.08131964310885,4.657739179614361,85.26094117727678,10.820721299496046,4.6538378576956445,84.52544084280832,7.947677700440714,4.245876959130899,87.80644534042837,9.37864831310432,2.7233352819308427,87.89801640496484,5.266722333521252,5.949869543547166,88.78340812293158,11.356083237112852,9.94537509455702,12.24533814762858,14.739058822723212,15.474559157191692,12.193554659571614,12.101983595035165,11.216591877068415,1
48,Gudeliai (Alytus),1,1.1,15.104009252205442,2.9093994178795417,81.98659132991502,13.35105769282118,4.453928973564349,82.19501333361447,NA,NA,NA,8.107971443873383,19.112645815842424,72.77938274028419,9.276840309546843,10.760323417779324,79.96283627267383,NA,NA,NA,13.834108729127156,9.135402666861,77.03048860401185,16.316513824613597,8.165800918849376,75.51768525653704,18.013408670084985,17.80498666638553,NA,27.22061725971581,20.037163727326167,NA,22.96951139598816,24.48231474346297,3
49,Ilgai,1,1.3,6.313409863005736,3.874975402993635,89.81161473400063,9.308992964096651,0.6343656729631907,90.05664136294016,9.382753642037422,2.384267472628117,88.23297888533446,7.384171881567952,2.667062648779672,89.94876546965239,7.298442560501658,4.50254607098187,88.19901136851647,6.259873957730977,4.525252788051748,89.21487325421728,8.181051307174377,2.258469963070322,89.5604787297553,8.228064143962273,2.275344960194857,89.49659089584287,10.188385265999372,9.94335863705984,11.76702111466554,10.051234530347624,11.800988631483529,10.785126745782724,10.4395212702447,10.50340910415713,2
