fid_1,Lake,EM17,EM18,EM19,EM20,EM21,EM22,EM23,EM24,SFM17,SFM18,SFM19,SFM20,SFM21,SFM22,SFM23,SFM24,dEM18,dSM18,dEM19,dSM19,dEM20,dSM20,dEM21,dSM21,dEM22,dSM22,dEM23,dSM23,dEM24,dSM24
70,Lūšiai,2.64,4.29,5.86,3.38,3.62,3.23,5.32,4.52,1.17,2.75,4.67,5.82,6.37,6.06,4.05,6.17,1.65,1.58,1.5700000000000005,1.92,-2.4800000000000004,1.1500000000000004,0.2400000000000002,0.5499999999999998,-0.3900000000000001,-0.3100000000000005,2.0900000000000003,-2.01,-0.8000000000000007,2.12
71,Makys,3.26,6.79,7.65,4.91,4.33,4.07,6.65,8.06,4.66,1.49,5.43,5.9,7.95,7.05,4.62,3.2,3.53,-3.17,0.8600000000000003,3.939999999999999,-2.74,0.47000000000000064,-0.5800000000000001,2.05,-0.2599999999999998,-0.9000000000000004,2.58,-2.4299999999999997,1.41,-1.42
72,Malkėstas,3.87,7.01,7.37,4.75,4.76,5.05,13.18,7.59,4.47,3.29,6.36,8.66,9.89,6.87,1.22,6.38,3.1399999999999997,-1.1799999999999995,0.3600000000000003,3.0700000000000003,-2.62,2.3,0.00999999999999978,1.2300000000000004,0.29000000000000004,-3.0200000000000005,8.129999999999999,-5.65,-5.59,5.16
73,Margis,2.61,5.8,6.61,3.8,3.03,2.79,7.61,3.96,3.41,1.09,2.75,3.74,5.76,5.5,1.08,2.95,3.19,-2.3200000000000003,0.8100000000000005,1.66,-2.8100000000000005,0.9900000000000002,-0.77,2.0199999999999996,-0.23999999999999977,-0.2599999999999998,4.82,-4.42,-3.65,1.87
75,Monis,7.55,8.71,9.76,8.33,9.59,9.01,14.08,9.65,2.79,1.16,3.11,5.3,5.11,4.85,0.83,3.92,1.160000000000001,-1.63,1.049999999999999,1.95,-1.4299999999999995,2.19,1.2599999999999998,-0.1899999999999995,-0.5800000000000001,-0.2600000000000007,5.07,-4.02,-4.43,3.09
77,Nevėža,2.75,5.47,9.7,4.83,4.36,4.47,6.94,8.17,7.39,4,5.02,8.84,8.3,9.72,5.9,6.21,2.72,-3.3899999999999997,4.2299999999999995,1.0199999999999996,-4.869999999999999,3.82,-0.46999999999999975,-0.5399999999999991,0.10999999999999945,1.42,2.4700000000000006,-3.82,1.2299999999999995,0.3099999999999996
81,Pakasas,2.07,4.75,7.13,3.74,4.51,3.73,5.63,2.96,2.6,2.48,4.04,6.94,5.45,6.7,3.86,6.49,2.68,-0.1200000000000001,2.38,1.56,-3.3899999999999997,2.9000000000000004,0.7699999999999996,-1.4900000000000002,-0.7799999999999998,1.25,1.9,-2.8400000000000003,-2.67,2.6300000000000003
83,Peršokšnai,3.37,5.29,5.93,4.34,2.68,2.18,4.86,3.52,0.74,1.38,3.16,3.6,6.72,9.64,4.01,5.39,1.92,0.6399999999999999,0.6399999999999997,1.7800000000000002,-1.59,0.43999999999999995,-1.6599999999999997,3.1199999999999997,-0.5,2.920000000000001,2.68,-5.630000000000001,-1.3400000000000003,1.38
88,Rašia,3.35,5.2,5.34,4.25,3.12,2.89,4.86,3.55,0.46,0.98,2.4,2.64,5.12,3.21,1.38,3.15,1.85,0.52,0.13999999999999968,1.42,-1.09,0.2400000000000002,-1.13,2.48,-0.23,-1.91,1.97,-1.83,-1.3100000000000005,1.77
90,Rubikiai,1.38,2.6,5.58,1.99,2.02,2.13,5.16,4.77,7.17,5.34,4.94,8.33,8.24,8.72,4.95,5.67,1.2200000000000002,-1.83,2.98,-0.39999999999999947,-3.59,3.3899999999999997,0.03000000000000002,-0.08999999999999986,0.10999999999999988,0.4800000000000004,3.03,-3.770000000000001,-0.39000000000000057,0.7199999999999998
91,Samavas,1.93,2.97,3.94,1.99,1.52,1.32,4.05,1.57,0.66,2.58,6.88,7.39,8.15,9.28,5.11,8.82,1.0400000000000005,1.92,0.9699999999999998,4.3,-1.95,0.5099999999999998,-0.47,0.7600000000000007,-0.19999999999999996,1.129999999999999,2.7299999999999995,-4.169999999999999,-2.4799999999999995,3.71
