fid_1,Lake,EM_17,EM_18,EM_19,EM_20,EM_21,EM_22,EM_23,EM_24,SFM_17,SFM_18,SFM_19,SFM_20,SFM_21,SFM_22,SFM_23,SFM_24,OW_17,OW_18,OW_19,OW_20,OW_21,OW_22,OW_23,OW_24
60,Kertuojai,81053.99065511377,139699.31321589128,222152.03986656343,134091.37877521865,108251.51925723512,84834.48791176296,158442.23967638196,90208.70910783664,81460.89825998948,98502.85077061376,281264.75687658286,299526.2064065073,362670.4450735505,336316.40696654964,253437.92806166105,326796.51611841226,5253303.830253649,5177616.555182243,4912401.922425603,4982201.133987024,4942664.4021577565,4992550.284083529,5003938.551430707,4998813.493942502
61,Kretuonas,360293.8340717981,427288.5173368559,675962.9508806264,422096.7873811155,NA,350918.59505850065,751529.6954584459,373114.4142404887,212475.37133875824,451874.9163675643,711393.2151572728,842774.5606044094,NA,893303.8393627096,491008.6711371627,867110.4170492883,7980114.613344409,7673720.385050545,7165527.652717067,7288012.470769441,NA,7303691.63988414,7310345.452159358,7312658.987465189
62,Krokų Lanka,1524254.9092800235,NA,NA,244035.5060342529,NA,NA,629827.4295441709,2178771.665268485,390455.5077261083,NA,NA,1907023.0998169847,NA,NA,1395912.7303282344,169952.665065541,6068994.364396728,NA,NA,5832646.175551621,NA,NA,5957964.621530451,5634239.679771379
63,Labūnava Reservoir,222481.72664576463,335181.9450819582,306149.5161102444,NA,244726.79657320472,NA,352201.14214060194,256258.3971440332,68316.29533875408,35703.33280210308,93307.20448686188,NA,134325.87396530452,NA,43028.65386581421,117824.22546603633,803303.9980273077,723216.7421277659,694645.2994147206,NA,715049.3494733175,NA,698872.2240054113,720019.3974017574
64,Lampėdis,89968.06055595547,NA,NA,NA,103912.69519921094,82319.17419562247,109002.2624523686,86020.39227333812,40737.90271947524,NA,NA,NA,58486.839172423126,28716.515735865567,116938.563577465,39271.83071214265,1121645.7176324425,NA,NA,NA,1089952.14653624,1141315.990976385,1026410.8548780404,1127059.457922392
65,Lavysas,17774.456206467552,30630.415470018565,34436.82860067037,44138.19374997011,79445.40262470613,32670.420403289776,47066.97586475444,25641.97695113536,21860.788643900552,4340.61157989502,12741.351627260092,44204.21181166405,37055.3212988012,18011.98667298859,8154.07206289254,23258.171026626285,1504448.2749840685,1509112.492784523,1496905.3396065056,1455741.114272802,1427406.8130389196,1493401.1127581578,1488862.471906789,1495183.3718566743
66,Lėnas,NA,NA,301771.4020764217,NA,202396.0381815292,286511.2426450092,307942.9619205101,261423.01651641223,NA,NA,166873.48206706328,NA,216526.7188750922,214441.10018407783,179547.956642869,215613.20572378123,NA,NA,1882151.417453048,NA,1929541.5197443792,1849843.958767446,1863305.3830331543,1872964.0074607404
67,Ligajai,49003.15269097719,104446.67108142312,128980.2477382137,80815.82065164903,NA,57828.11259702797,107454.50541257647,93600.898368925,30542.5938529968,19567.56315310609,48590.16868969786,80239.10026912292,NA,96949.66101223808,42743.24685827518,76540.78517493444,1284704.968655695,1240236.4809651389,1186283.6873406358,1203195.7942788964,NA,1209472.9415904025,1214052.9629288164,1194109.0316558094
68,Luodis,483602.3446468286,542557.4679249191,717268.3851690404,NA,NA,484344.94375825865,719325.0177147518,658398.4393336739,909337.840005538,625917.8959978888,906714.9683849412,NA,NA,1082557.374651906,816700.0524572483,990925.8020026564,11461960.934720747,11686425.755435046,11230917.765803875,NA,NA,11269357.727182891,11318876.049185855,11205576.878021523
69,Luokesai,34270.98340674002,NA,53137.36505848002,40673.61255698101,29012.503087720623,24977.39926099588,55038.60703288059,51279.480310671934,9532.834977752089,NA,14751.293414276724,15858.60808500402,37316.1658191157,21089.605213284955,4163.5680799895645,6587.070933772068,996039.2116900572,NA,971954.3716017926,983310.8094325644,965221.926517292,993776.0256002684,980640.8549616792,981976.4788301056
70,Lūšiai,93311.2030744216,151773.09806220865,207581.73604393768,119703.18879594984,NA,114491.26189874382,188407.23283719845,160190.99011205038,41534.79963648179,97213.88130600873,165217.44083700742,206213.7995555953,NA,214399.8457497391,143382.17972615562,218304.20005748977,3405541.1981276423,3291400.221470329,3167588.0239576013,3214470.213222325,NA,3211496.0931900623,3208597.7882751925,3161892.010669006
71,Makys,57526.40436814257,NA,135053.3854181027,86627.37042599851,NA,71833.8143129088,117422.32728467455,142375.4987581588,82350.75376048373,NA,95823.252969899,104183.23318568214,NA,124478.9707147785,81591.9992422964,56426.76477782305,1625748.2199095776,NA,1534748.7396502024,1574814.774247547,NA,1569312.593010517,1566611.051511233,1566823.114502222
72,Malkėstas,40165.7597739276,72650.16732590627,76456.06185969942,49232.34486354759,49321.506134093135,52390.3567651338,136714.41744594192,78757.891513989,46343.38730884626,34081.10651758232,65934.10713061166,89819.36275389431,102614.29636834834,71223.3104197334,12681.544657523958,66124.98794383628,950586.481005246,930364.3542445316,894705.4590977087,898043.920470578,870935.576459144,913481.9609031528,887699.6659845539,892212.7486301945
73,Margis,30294.238926621976,67243.70124924598,76670.30301262348,44040.90002757051,35082.03099184223,32389.05030186971,88257.54144981218,45872.924838615865,39592.37384802127,12657.272140996596,31933.065440637933,43340.66688117234,66781.75101578653,63791.45121178717,12490.730880378274,34262.56926113953,1089759.0635328705,1079106.1814176375,1051042.3078542526,1072264.1093987713,1057433.609033009,1063465.1747938567,1058897.403977323,1079510.1822077588
74,Metelys,478672.7605037168,575526.4755936717,NA,774780.8863548131,720863.7107484272,564923.3248406516,545455.180853945,551506.83706502,639250.5688451286,517852.02101880254,NA,435837.4971249001,618228.6847154504,671517.0626156379,678926.4888756551,698564.9821933676,11760291.939684296,11773898.285280015,NA,11667596.88539492,11539122.873569263,11641774.881576853,11653833.59930354,11628143.449774755
