fid_1,RD05,Max,S_m2,Type,morf_group,X,Y
116,4.37639066039966,15.1,1496000,1,1,23.78621491438,54.04826647404186
117,4.31442588121571,23.6,3760000,1,1,24.660856497997,54.51842701495298
118,7.53613368626214,35.7,2820000,1,2,25.493001088168,55.29485612651128
119,6.84932608762309,23,1417000,1,2,25.856841115132,55.79960987934112
120,0.974849617998034,4.4,2560000,1,3,23.427105400113,54.40182440248284
121,4.62914342369274,18,1900000,1,1,23.559959471979,54.12151633533444
122,3.35094924920561,9.5,1010000,1,1,24.582638273634,54.85225009060708
123,3.90713195276332,23.5,4546000,1,1,26.04737474001,55.27326208687988
124,5.65213268856011,19.1,1435000,1,1,25.54100439346,55.3144342787139
125,6.44116822399522,25.6,1985000,1,2,24.754267278116,55.12516345002034
126,0.301533178411315,2.6,9343000,1,3,23.635948747229,54.46913353755274
127,1.33000555729165,5,1776000,1,3,25.508222504061,55.06889142528182
128,0.779879694398427,5.5,6250000,1,3,26.221582261113,53.01234754256482
129,1.3550323677648899,8.8,5300000,1,3,24.214621237204,53.76887246050004
130,NA,NA,NA,2,4,26.504728617593,54.45068914450006
131,2.46146010163138,9,1680000,1,3,27.771836253758,54.44346346225938
132,2.0562345172147,8.1,1950000,1,3,26.859982435931,54.8321531252712
133,0.921552177216005,8,9470000,1,3,25.78236812355,52.6342146505395
134,0.607647695906373,5.3,9560000,1,3,26.58709000976,54.96745149850006
135,1.98313100453817,6.5,1350000,1,3,24.208716922479,53.88155451000006
136,0.573366117700317,13,64600000,2,5,26.980196317329,54.49729930193834
137,0.707290626103043,6.3,9970000,1,3,26.56839067492,54.72320660500004
138,1.70534958273168,5.4,1260000,2,4,24.394260383765,53.38005775031476
139,0.159899127517175,2.3,26000000,1,3,25.948344927538,52.68166666666696
140,1.48428574793313,4.7,1260000,2,4,25.669248693957,52.98844908500586
141,NA,NA,NA,2,5,23.975204026813,53.64394482035592
142,1.6487441558041,5.2,1250000,1,3,24.307952436,53.92181635000006
143,0.45119308943358,1.8,2000000,2,4,25.520954736028,52.81341094200006
144,0.514865236960034,1.7,1370000,1,3,27.080088166252,54.90983249800008
145,0.767495030959866,7.5,12000000,2,4,24.83231527792,53.14158292351946
146,0.852674791365841,4.5,3500000,2,4,27.397234639273,53.40125909578986
147,0.820801661163515,3.2,1910000,1,3,26.398152436512,54.10661599510662
148,0.762742694053141,5,5400000,2,4,26.221582261113,53.01234754256482
149,1.1067454053095,11.3,13100000,1,3,26.886484928259,54.85995324550008
150,0.985247918939881,24.8,79620000,1,3,26.784633882525,54.85610637834908
151,NA,NA,NA,2,4,24.862174176604,52.89105255380522
152,1.57917581301753,6.3,2000000,2,4,27.771836253758,54.44346346225938
153,1.15776200729323,4,1500000,2,4,26.207503654302,54.585665727331516
154,2.26067979061383,12.1,3600000,2,5,27.183631452704,53.96493411639034
155,NA,NA,NA,2,4,26.162200333585,52.84956072178978
156,1.30559081216847,5.8,2480000,1,3,24.161146727987,53.7130242051102
157,1.04778043156167,3.1,1100000,2,4,26.398152436512,54.10661599510662
158,0.653381135592905,8.7,22280000,1,3,26.480179293773,54.80459316518032
